feature,importance
class_year_numeric,219490.70223236084
Rec_Rank,70660.71792602539
bpm_career_avg,61322.09795951843
gbpm,31700.244400024414
is_senior,31487.481552124023
bpm,29445.636489868164
pts_total_improvement,23756.969039916992
porpag,22260.778274536133
adjoe,22193.922833442688
dporpag,22180.77293395996
stops,19680.519203186035
Min_per_career_avg,19574.361434936523
pts_improvement,19369.131134033203
eFG,15590.229396820068
ogbpm,15356.547103881836
TO_per,15318.129291534424
twoP_per,15127.342208862305
pts,14979.387008666992
TS_per_career_avg,14665.151903152466
adrtg,13738.357498168945
treb_total_improvement,12884.112445831299
ast_tov,12842.473129272461
FTM,11677.107818603516
drtg,11294.12193107605
rimmade,11191.198101043701
FTA,11164.618886947632
dgbpm,10491.313903808594
rimmade_rimmade_rimmiss,9962.148181915283
per,9888.674182891846
num,9820.034385681152
total_minutes,9753.395521640778
Ortg,9484.101039886475
midmade_midmade_midmiss,9448.489873886108
obpm,9382.294982910156
usg_career_avg,9367.322843551636
bpm_total_improvement,8896.84977722168
ast_improvement,8767.252044677734
Min_per_total_improvement,8602.567111968994
ft_made_per_game,8526.170707702637
TS_per,8128.366622924805
year,8123.678680419922
pts_career_avg,8091.01420211792
dunksmiss_dunksmade,7963.245738983154
usg,7952.519981384277
TPA,7753.403007507324
tsa,7252.407918930054
FT_per,7208.17786026001
stl,7142.495697021484
dunksmade_dunksmade_dunksmiss,7137.11701965332
treb_improvement,7039.130744934082
efg_pct,6968.2908725738525
ast_career_avg,6822.27046585083
pfr,6755.633014678955
mp,6729.360462188721
dunksmade,6704.127283573151
DRB_per,6702.025012016296
usg_improvement,6468.222852706909
spg,6418.715103149414
dunk_pct,6328.39147567749
dreb,6108.8658447265625
usg_total_improvement,6012.271026611328
Min_per,5964.762134552002
is_freshman,5879.912670135498
TS_per_improvement,5873.0097732543945
twoPM,5682.050296783447
Min_per_improvement,5557.86372756958
mid_pct,5536.412311553955
ftr,5314.198677062988
reb_dominance,5169.372024536133
TP_per,5078.459033966064
well_rounded_score,5027.487558364868
twoPA,4491.169445037842
dbpm,4353.524705886841
TS_per_total_improvement,4333.749835968018
blk,4330.5334548950195
TPM,4274.26700592041
midmade,4099.212274551392
total_reb_rate,4075.6002130508423
rimmade_rimmiss,4054.4580993652344
ppg,3940.583662033081
blk_per,3795.5212936401367
ast_total_improvement,3543.3345909118652
orpg,3381.0624599456787
midmade_midmiss,3343.511724472046
efficiency_composite,3130.2375106811523
oreb,3033.8229331970215
Unnamed_65,3033.3900451660156
drb_rate,2974.182327270508
drpg,2966.829788208008
conf_avg_offense,2862.214889526367
defensive_rating,2840.2130432128906
ast_to_ratio,2782.6981811523438
bpm_improvement,2771.977756500244
stl_per,2714.1248149871826
conf_avg_defense,2656.4491958618164
GP,2652.7764434814453
treb,2637.071768760681
ast,2623.3094902038574
stl_rate,2618.5882606506348
two_pt_rate,2609.9583625793457
defensive_contrib,2484.8854751586914
ORB_per,2337.654010772705
two_pt_pct,2192.56396484375
usage_rate,2171.222496032715
AST_per,2109.0350341796875
three_pt_rate,2055.0759887695312
ft_rate,2053.2796478271484
bpg,2010.1723976135254
apg,2000.1549987792969
rpg,1764.143310546875
conf_avg_bpm,1740.1433792114258
treb_career_avg,1675.556007385254
adj_defensive_rating,1410.1069946289062
offensive_rating,976.7006874084473
blk_rate,887.6120300292969
years_in_college,844.968994140625
three_pt_made_per_game,844.50830078125
years_played,717.0009765625
rim_pct,671.0855102539062
is_junior,649.8200073242188
games_played_pct,595.0750122070312
orb_rate,569.0490112304688
three_pt_pct,556.7454032897949
ft_pct,408.81700134277344
scoring_versatility,332.2550048828125
ts_pct,248.54100036621094
pos_PF_C,239.3209991455078
is_sophomore,203.468994140625
mpg,91.76940155029297
height_inches,0.0
is_starter,0.0
is_major_conf,0.0
pos_Wing_G,0.0
pos_Wing_F,0.0
pos_Scoring_PG,0.0
pos_Pure_PG,0.0
pos_Combo_G,0.0
pos_C,0.0
pos_Stretch_4,0.0
